"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Eckles, Megan Alma","ENVR 140 - Wilderness and Human Values (B)","SP16","27","18","100.0%","100.0%","5.79","B+ (3.60)","B (3.18)"
"Ochoa, Edward Henry","ENVR 110 - Environmental Law (A)","WI16","54","29","92.9%","92.9%","5.46","B- (2.90)","B (3.19)"
"Talley, Theresa S.","ENVR 120 - Coastal Ecology (A)","WI16","17","12","100.0%","100.0%","3.50","B+ (3.55)","N/A"
"Eckles, Megan Alma","ENVR 141 - Wilderness & HumanValue Worksh (A)","WI16","9","5","100.0%","100.0%","4.50","N/A","N/A"
"Eckles, Megan Alma","ENVR 30 - Environmental Issues:Nat Sci (A)","FA15","119","66","96.8%","96.8%","4.07","B+ (3.42)","B- (2.91)"
"Eckles, Megan Alma","ENVR 102 - Selected Topics/Environmntl St (A)","SP15","30","14","91.7%","83.3%","3.17","A- (3.75)","A- (3.93)"
"Niles, John O.","ENVR 102 - Selected Topics/Environmntl St (B)","SP15","23","16","100.0%","100.0%","4.00","B+ (3.64)","B (3.21)"
"Talley, Theresa S.","ENVR 120 - Coastal Ecology (A)","SP15","17","15","100.0%","100.0%","3.83","B+ (3.67)","N/A"
"Hineline, Mark Lawrence","ENVR 140 - Wilderness and Human Values (A)","SP15","89","30","92.6%","77.8%","4.13","A- (3.78)","B+ (3.70)"
"Ochoa, Edward Henry","ENVR 110 - Environmental Law (A)","WI15","39","15","73.3%","73.3%","6.50","B+ (3.33)","B (3.22)"
"Eckles, Megan Alma","ENVR 141 - Wilderness & HumanValue Worksh (A)","WI15","6","3","100.0%","100.0%","3.83","A (4.00)","N/A"
"Hunefeldt, Christine","ENVR 87 - Freshman Seminar (A)","WI15","10","3","66.7%","66.7%","0.50","N/A","N/A"
"Eckles, Megan Alma","ENVR 30 - Environmental Issues:Nat Sci (A)","FA14","117","50","98.0%","100.0%","3.60","B+ (3.42)","B (3.15)"
"Eckles, Megan Alma","ENVR 102 - Selected Topics/Environmntl St (A)","SP14","30","11","100.0%","100.0%","5.10","A- (3.89)","A- (3.99)"
"Talley, Theresa S.","ENVR 120 - Coastal Ecology (A)","SP14","16","16","100.0%","100.0%","4.00","A- (3.94)","N/A"
"Hineline, Mark Lawrence","ENVR 140 - Wilderness and Human Values (A)","SP14","87","29","88.5%","84.6%","3.19","A- (3.91)","A- (3.77)"
"Ochoa, Edward Henry","ENVR 110 - Environmental Law (A)","WI14","39","11","81.8%","81.8%","4.32","B (3.22)","B- (2.88)"
"Hineline, Mark Lawrence","ENVR 141 - Wilderness & HumanValue Worksh (A)","WI14","10","6","100.0%","100.0%","2.83","A (4.00)","N/A"
"Eckles, Megan Alma","ENVR 30 - Environmental Issues:Nat Sci (A)","FA13","111","64","98.4%","98.4%","3.09","A- (3.75)","B+ (3.56)"
"Hineline, Mark Lawrence","ENVR 140 - Wilderness and Human Values (A)","S213","14","5","100.0%","100.0%","6.90","B+ (3.60)","N/A"
"Eckles, Megan Alma","ENVR 102 - Selected Topics/Environmntl St (A)","SP13","30","17","94.1%","94.1%","3.68","A- (3.94)","A- (3.88)"
"Talley, Theresa S.","ENVR 120 - Coastal Ecology (A)","SP13","16","13","100.0%","100.0%","4.19","A- (3.77)","N/A"
"Ochoa, Edward Henry","ENVR 110 - Environmental Law (A)","WI13","54","22","86.4%","86.4%","5.14","B (3.15)","B+ (3.38)"
"Hineline, Mark Lawrence","ENVR 140 - Wilderness and Human Values (A)","WI13","73","39","94.9%","92.3%","4.19","A- (3.82)","A- (3.71)"
"Eckles, Megan Alma","ENVR 30 - Environmental Issues:Nat Sci (A)","FA12","117","48","91.1%","93.3%","3.97","B+ (3.38)","B (3.02)"
"Hineline, Mark Lawrence","ENVR 140   - Wilderness and Human Values    (A)","S212","21","3","100.0%","100.0%","5.83","A (4.00)","B+ (3.37)"
"Talley, Theresa S.","ENVR 120   - Coastal Ecology                (A)","SP12","23","20","100.0%","100.0%","5.50","A- (3.72)","A (4.00)"
"Hilger, James R.","ENVR 130   - Environmental Issues:Soc Sci   (A)","SP12","86","39","82.1%","53.8%","4.14","A- (3.74)","B- (2.83)"
