"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Cosman, Pamela C.","TMC 1 - First Year Experience (A)","FA15","39","23","66.7%","85.7%","1.93","A (4.00)","N/A"
"Sinay, Patricia","TMC 15 - Public Service in America (A)","FA15","8","6","100.0%","100.0%","4.90","B+ (3.60)","N/A"
"Havis, Allan","TMC 198 - Marshall Directed Group Study (A)","FA15","17","8","71.4%","85.7%","3.36","A (4.00)","N/A"
"Mel, Stephanie","TMC 2 - Transfer Year Experience (A)","FA15","26","17","93.8%","93.8%","2.13","N/A","N/A"
"Havis, Allan","TMC 20 - Thurgood Marshall Col Hnrs Sem (A)","FA15","14","6","83.3%","100.0%","0.50","A (4.00)","N/A"
"Roxworthy, Emily","TMC 20 - Thurgood Marshall Col Hnrs Sem (B)","FA15","6","3","100.0%","100.0%","2.50","A (4.00)","N/A"
"Dobkins, Karen R.","TMC 87 - Freshman Seminar (A)","FA15","19","10","100.0%","100.0%","2.90","A (4.00)","N/A"
"Havis, Allan","TMC 198 - Marshall Directed Group Study (A)","SP15","18","9","87.5%","87.5%","3.64","A (4.00)","N/A"
"Havis, Allan","TMC 20 - Thurgood Marshall Col Hnrs Sem (A)","SP15","7","3","100.0%","100.0%","3.83","N/A","N/A"
"Havis, Allan","TMC 20 - Thurgood Marshall Col Hnrs Sem (C)","SP15","15","8","100.0%","100.0%","0.75","A (4.00)","N/A"
"Dobkins, Karen R.","TMC 87 - Freshman Seminar (A)","SP15","11","6","100.0%","100.0%","2.50","A (4.00)","N/A"
"Havis, Allan","TMC 198 - Marshall Directed Group Study (A)","WI15","20","11","90.9%","90.9%","4.86","A (4.00)","N/A"
"Havis, Allan","TMC 20 - Thurgood Marshall Col Hnrs Sem (B)","WI15","10","7","100.0%","100.0%","1.36","N/A","N/A"
"Havis, Allan","TMC 20 - Thurgood Marshall Col Hnrs Sem (C)","WI15","11","8","100.0%","100.0%","0.50","N/A","N/A"
"Dobkins, Karen R.","TMC 87 - Freshman Seminar (A)","WI15","15","12","100.0%","100.0%","1.17","A (4.00)","N/A"
"Havis, Allan","TMC 1 - First Year Experience (A)","FA14","70","46","77.8%","91.1%","1.00","A (4.00)","N/A"
"Sinay, Patricia","TMC 15 - Public Service in America (A)","FA14","7","3","100.0%","100.0%","5.17","B+ (3.33)","N/A"
"Havis, Allan","TMC 198 - Marshall Directed Group Study (A)","FA14","18","9","100.0%","100.0%","3.00","A (4.00)","N/A"
"Gagnon, Jeffrey C","TMC 20 - Thurgood Marshall Col Hnrs Sem (A)","FA14","13","7","100.0%","100.0%","0.50","N/A","N/A"
"Havis, Allan","TMC 20 - Thurgood Marshall Col Hnrs Sem (B)","FA14","15","8","100.0%","100.0%","1.75","A (4.00)","N/A"
"Dobkins, Karen R.","TMC 87 - Freshman Seminar (A)","FA14","11","8","87.5%","100.0%","0.75","N/A","N/A"
"Havis, Allan","TMC 20 - Thurgood Marshall Col Hnrs Sem (A)","SP14","6","4","100.0%","100.0%","3.17","N/A","N/A"
"Dobkins, Karen R.","TMC 87 - Freshman Seminar (A)","SP14","16","7","100.0%","100.0%","0.79","A (4.00)","N/A"
"Sinay, Patricia","TMC 15 - Public Service in America (A)","WI14","6","5","100.0%","100.0%","3.70","A- (3.80)","N/A"
"Goldwasser, Michele A.","TMC 10 - Methods of Inquiry (A)","FA13","5","3","66.7%","100.0%","9.17","N/A","N/A"
