"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Saha, Abhishek","MAE 94 - Rocketry Competitions (A)","SP22","26","24","100.0%","100.0%","1.50","B+ (3.67)","A (4.00)"
"Nomura, Keiko K.","MAE 101A - Introductory Fluid Mechanics (A)","WI22","116","106","92.5%","93.4%","8.14","B (3.07)","B+ (3.37)"
"Miller, David R.","MAE 101A - Introductory Fluid Mechanics (B)","WI22","42","20","100.0%","94.1%","10.28","B+ (3.33)","B- (2.89)"
"Llewellyn Smith, Stefan G.","MAE 101B - Advanced Fluid Mechanics (A)","WI22","75","43","90.7%","93.0%","7.24","B (3.21)","B- (2.91)"
"Bahadori, Mohammad Yousef","MAE 105 - Intro to Mathematical Physics (A)","WI22","41","28","70.4%","74.1%","8.35","B- (2.81)","B- (2.73)"
"Lindsey, Stephanie","MAE 107 - Computational Methods/Engineer (A)","WI22","58","48","52.1%","43.8%","9.00","B- (2.83)","C+ (2.64)"
"Petersen, Lonnie Grove","MAE 11 - Thermodynamics (A)","WI22","72","39","76.3%","94.7%","8.92","B (3.00)","C+ (2.62)"
"Rangamani, Padmini","MAE 11 - Thermodynamics (B)","WI22","78","72","86.1%","93.1%","7.32","B+ (3.32)","B+ (3.58)"
"Saha, Abhishek","MAE 110 - Thermodynamic Systems (A)","WI22","14","12","100.0%","91.7%","9.00","B (3.09)","N/A"
"Weiss, Adam Daniel","MAE 113 - Fundamentals of Propulsion (A)","WI22","82","75","98.7%","100.0%","7.06","B+ (3.38)","B+ (3.46)"
"Hidalgo-Gonzalez, Patricia","MAE 119 - Intro Renew Energ/Solar & Wind (A)","WI22","118","94","90.3%","90.2%","5.73","B+ (3.36)","B (3.02)"
"Krasheninnikov, Sergei","MAE 120 - Introduction to Nuclear Energy (A)","WI22","31","18","82.4%","70.6%","6.38","B+ (3.35)","B (3.09)"
"Ghazinejad, Maziar","MAE 131B - Solid Mechanics II (A)","WI22","46","38","100.0%","97.4%","6.29","B+ (3.34)","B (3.21)"
"Kamensky, David M","MAE 131B - Solid Mechanics II (B)","WI22","20","13","92.3%","92.3%","7.27","B- (2.92)","B (3.14)"
"Frazier, Michael","MAE 133 - Finite Element Methods in MAE (A)","WI22","13","13","61.5%","69.2%","11.88","B (3.23)","N/A"
"Anderson, Mark Ronald","MAE 142 - Dynmcs&Control/Aerospace Vehic (A)","WI22","84","43","92.9%","92.9%","5.83","A- (3.71)","B+ (3.47)"
"Kramer, Boris","MAE 143A - Signals and Systems (A)","WI22","190","156","71.4%","80.4%","8.85","B- (2.86)","C+ (2.54)"
"de Oliveira, Mauricio","MAE 143B - Linear Control (A)","WI22","61","28","42.3%","61.5%","9.81","B- (2.73)","B- (2.83)"
"Martinez, Sonia","MAE 145 - Robotic Planning & Estimation (A)","WI22","66","36","55.6%","63.9%","9.17","B- (2.83)","B- (2.84)"
"Silberman, Jack","MAE 148 - Intro to Autonomous Vehicles (A)","WI22","14","9","100.0%","88.9%","12.06","B+ (3.56)","N/A"
"Friend, James Robert","MAE 150 - Computer-Aided Design (A)","WI22","30","24","83.3%","83.3%","10.58","B (3.29)","B- (2.78)"
"Anderson, Mark Ronald","MAE 155A - Aerospace Engineering Design I (A)","WI22","61","30","100.0%","100.0%","6.70","A- (3.70)","A- (3.73)"
"Hwang, John T","MAE 155A - Aerospace Engineering Design I (B)","WI22","10","9","100.0%","100.0%","10.06","B+ (3.67)","N/A"
"Gravish, Nicholas G","MAE 156A - Fund. Prin./Mechanical Desgn I (A)","WI22","67","33","48.4%","87.1%","13.13","B (3.22)","B (3.22)"
