"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"D'Elena-Tweed, Jessica Erin","VIS 101A - Designing Urban Ecologies (A)","WI22","15","6","100.0%","100.0%","7.17","B+ (3.67)","N/A"
"Park, Kyong Dong","VIS 103B - Architecture&Urbanism of Korea (A)","WI22","68","26","87.0%","73.9%","5.72","B+ (3.43)","B+ (3.36)"
"Chapin, Taylor Mackenzie","VIS 105B - Drawing: Practices and Genre (A)","WI22","27","15","100.0%","100.0%","8.23","A (4.00)","A- (3.94)"
"Tonies, Joshua Vanjaymes","VIS 105C - Drawing: Portfolio Projects (A)","WI22","13","3","100.0%","100.0%","9.83","A (4.00)","N/A"
"Li, Huai","VIS 105D - Aesthetics/Chinese Calligraphy (A)","WI22","25","7","85.7%","85.7%","5.36","A- (3.86)","B+ (3.70)"
"Tobe, Geoffroy","VIS 106A - Painting:  Image Making (A)","WI22","22","10","100.0%","100.0%","11.61","A- (3.78)","A- (3.82)"
"Iglesias, Janelle Ann","VIS 107A - Sculpture: Making the Object (A)","WI22","25","7","100.0%","100.0%","7.93","A- (3.86)","B+ (3.57)"
"Cartwright, Lisa","VIS 11 - Introduction to Visual Culture (A)","WI22","287","111","86.9%","93.5%","3.98","A- (3.80)","A- (3.78)"
"Gregoire, Mathieu","VIS 110E - Art/Public Spaces/Site Specifc (A)","WI22","16","6","100.0%","100.0%","3.50","A- (3.83)","N/A"
"Ortiz-Torres, Ruben","VIS 110H - Art and Text (A)","WI22","17","6","100.0%","66.7%","5.50","A- (3.83)","N/A"
"Iglesias, Janelle Ann","VIS 110M - Studio Honors I (A)","WI22","13","3","100.0%","100.0%","7.83","A (4.00)","N/A"
"Welchman, John C.","VIS 112 - Theories and Methods (A)","WI22","11","4","100.0%","100.0%","12.00","A- (3.75)","N/A"
"Klemm, Peri Marka","VIS 117E - Problems in Ethnoaesthetics (A)","WI22","15","3","100.0%","100.0%","3.17","A (4.00)","N/A"
"Tronzo, William","VIS 122B - Baroque (A)","WI22","82","37","100.0%","100.0%","3.67","A- (3.91)","A- (3.79)"
"Kester, Grant","VIS 125G - Hist. of Socially Engaged Art (A)","WI22","71","20","80.0%","100.0%","6.20","A- (3.79)","B (3.02)"
"Newsome, Elizabeth Ann","VIS 129D - Seminar/Art History/Americas (A)","WI22","15","3","66.7%","66.7%","1.83","A (4.00)","N/A"
"Stuker, Jeffrey Ryan","VIS 135 - Design Research Methods (A)","WI22","36","10","100.0%","88.9%","4.25","A- (3.75)","A- (3.77)"
"Crandall, Jordan","VIS 136A - Speculative Fiction Seminar (A)","WI22","17","9","88.9%","100.0%","7.61","A- (3.89)","N/A"
"Alexander, Amy J","VIS 145A - Time&Process Digital Media I (A)","WI22","76","26","88.5%","88.5%","5.37","B+ (3.63)","A- (3.72)"
"Stone, Patricia","VIS 147A - Electronic Technologies/Art I (A)","WI22","40","14","85.7%","85.7%","5.93","A- (3.79)","A- (3.94)"
"Navab-Gojrati, Nassem","VIS 147B - Electronic Technologies/Art II (A)","WI22","13","11","81.8%","90.0%","6.14","A- (3.91)","N/A"
"Yoldas, Pinar","VIS 149 - Contemporary Computer Topics (A)","WI22","15","3","100.0%","100.0%","7.17","A (4.00)","N/A"
"Cartwright, Lisa","VIS 152D - IdentityThruTransnationalCinem (A)","WI22","130","44","93.2%","95.5%","5.91","A- (3.73)","A- (3.92)"
"Alexander, Amy J","VIS 160A - Senior Proj/Computing Arts I (A)","WI22","11","5","100.0%","100.0%","8.10","A (4.00)","N/A"
"Akten, Mehmet","VIS 160A - Senior Proj/Computing Arts I (B)","WI22","15","7","100.0%","100.0%","10.79","A (4.00)","N/A"
"Nakayama, Yue","VIS 164 - Photographic Strategies (A)","WI22","22","16","100.0%","100.0%","6.10","A- (3.87)","A- (3.88)"
