"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Morris, Karcher William","ECE 25 - Introduction to Digital Design (A)","WI22","113","60","93.1%","96.4%","8.03","B+ (3.34)","B+ (3.31)"
"Mir Arabbaygi, Siavash","ECE 30 - Intro to Computer Engineering (A)","WI22","61","25","62.5%","78.3%","11.98","B (3.00)","C+ (2.39)"
"Schurgers, Curt","ECE 35 - Introduction to Analog Design (A)","WI22","197","146","77.9%","92.4%","11.06","B- (2.84)","C+ (2.42)"
"Franceschetti, Massimo","ECE 45 - Circuits and Systems (A)","WI22","220","93","68.1%","54.9%","7.71","B- (2.96)","A- (3.71)"
"Morris, Karcher William","ECE 5 - Intro to ECE (A)","WI22","51","25","96.0%","92.0%","6.08","A- (3.88)","B+ (3.53)"
"Baghdadchi, Saharnaz","ECE 65 - Components & Circuits Lab (A)","WI22","150","119","95.0%","97.5%","8.26","B+ (3.47)","B- (2.88)"
"Sievenpiper, Daniel F.","ECE 100 - Linear Electronic Systems (A)","FA21","93","47","91.1%","93.3%","9.61","B (3.12)","C+ (2.68)"
"Siegel, Paul H.","ECE 101 - Linear Systems Fundamentals (B)","FA21","103","91","85.6%","96.7%","9.78","B (3.09)","B- (2.99)"
"Hsueh, Tzu-Chien","ECE 102 - Intro/Active Circuit Design (A)","FA21","75","68","97.0%","94.0%","8.65","B (3.00)","B (3.17)"
"Ng, Tse Nga","ECE 103 - Fundamntls/Devices & Materials (A)","FA21","27","12","66.7%","66.7%","7.17","B- (2.83)","B (3.24)"
"Lomakin, Vitaliy","ECE 107 - Electromagnetism (A)","FA21","60","27","66.7%","70.4%","8.35","C+ (2.69)","B (3.11)"
"Zeger, Kenneth A.","ECE 109 - Engineering Probability&Stats (A)","FA21","129","65","72.6%","75.8%","6.47","B- (2.94)","C+ (2.64)"
"Koushanfar, Farinaz","ECE 111 - Advanced Digital Design Proj (A)","FA21","92","42","51.2%","46.3%","8.30","B (3.10)","B+ (3.33)"
"Esmaili, Gholamreza","ECE 121A - Power Sys Analysis & Fundmntls (A)","FA21","56","26","96.0%","88.0%","8.66","B (3.20)","B (3.04)"
"Abi Samra, Nicholas Camill","ECE 128A - Real Wrld Pwr Grid Operation (A)","FA21","60","27","100.0%","100.0%","6.19","B+ (3.58)","B+ (3.57)"
"Kuzum, Duygu","ECE 135A - Semiconductor Physics (A)","FA21","20","7","100.0%","100.0%","4.83","B+ (3.57)","B- (2.87)"
"Unpingco, Jose H.","ECE 143 - Programming for Data Analysis (A)","FA21","98","68","92.6%","97.1%","7.79","A- (3.82)","A- (3.90)"
"Phan, Alex Minh Giang","ECE 144 - LabVIEW Programming (A)","FA21","24","24","91.7%","91.7%","8.24","B+ (3.50)","B+ (3.60)"
"Silberman, Jack","ECE 148 - Intro to Autonomous Vehicles (A)","FA21","9","6","80.0%","60.0%","10.90","A- (3.80)","N/A"
"Schurgers, Curt","ECE 15 - Engineering Computation (A)","FA21","217","158","78.7%","87.6%","9.11","B (3.16)","C+ (2.67)"
"Milstein, Laurence B.","ECE 155 - Digital Communications Theory (A)","FA21","6","5","100.0%","100.0%","6.50","B (3.00)","N/A"
"Franceschetti, Massimo","ECE 158A - Data Networks I (A)","FA21","47","14","83.3%","83.3%","4.83","B (3.25)","B (3.23)"
"Khoshabeh, Ramsin","ECE 16 - Rapid Hardware & Software Dsn (A)","FA21","29","19","84.2%","93.8%","11.34","B+ (3.67)","B+ (3.57)"
"Rao, Bhaskar D.","ECE 161A - Intr/Digital Signal Processing (A)","FA21","67","31","82.8%","82.1%","9.43","B- (2.76)","C+ (2.52)"
"Hall, Drew A.","ECE 164 - Analog Integrtd Circuit Design (A)","FA21","111","54","88.5%","98.0%","13.42","B (3.22)","B- (2.87)"
"Rebeiz, Gabriel","ECE 166 - Microwave Systems and Circuits (A)","FA21","105","40","88.9%","91.7%","11.33","B (3.12)","B- (2.85)"
"Gessner, Richard K.","ECE 17 - Object-Oriented Programming (A)","FA21","42","19","78.9%","78.9%","10.72","B+ (3.35)","C+ (2.54)"
"Atanasov, Nikolay A.","ECE 171A - Linear Control System Theory (B)","FA21","43","23","95.5%","100.0%","8.05","A- (3.71)","B+ (3.59)"
"Shi, Yuanyuan","ECE 171B - Linear Control System Theory (A)","FA21","32","29","96.6%","96.6%","9.05","B+ (3.31)","B (3.25)"
"Pal, Piya","ECE 174 - Intro/Linear&Nonlinear Optimiz (A)","FA21","113","48","81.8%","84.1%","11.01","C+ (2.67)","C+ (2.69)"
"Lomakin, Vitaliy","ECE 182 - Electromagnetic Optcs/GW&FbrOp (A)","FA21","13","6","100.0%","100.0%","7.17","B+ (3.33)","N/A"
"Liu, Zhaowei","ECE 187 - Intro/Biomed Imaging & Sensing (A)","FA21","13","6","100.0%","100.0%","3.00","B+ (3.50)","N/A"
"Liu, Zhaowei","ECE 25 - Introduction to Digital Design (A)","FA21","64","31","83.9%","83.3%","6.44","B (3.13)","B (3.06)"
"Mir Arabbaygi, Siavash","ECE 30 - Intro to Computer Engineering (A)","FA21","85","43","68.3%","73.2%","9.45","C+ (2.59)","C+ (2.53)"
"Schurgers, Curt","ECE 35 - Introduction to Analog Design (A)","FA21","170","124","84.6%","94.3%","10.19","B- (2.75)","C+ (2.46)"
"Schurgers, Curt","ECE 35 - Introduction to Analog Design (B)","FA21","151","102","88.0%","89.0%","10.62","B (3.12)","B- (2.72)"
"Franceschetti, Massimo","ECE 45 - Circuits and Systems (A)","FA21","67","35","75.8%","69.7%","8.32","B (3.22)","B- (2.88)"
"Morris, Karcher William","ECE 5 - Intro to ECE (A)","FA21","150","77","98.6%","100.0%","7.49","A- (3.79)","A- (3.73)"
"Baghdadchi, Saharnaz","ECE 65 - Components & Circuits Lab (A)","FA21","77","59","91.5%","98.3%","8.57","B (3.07)","C+ (2.58)"
"Baghdadchi, Saharnaz","ECE 100 - Linear Electronic Systems (A)","S321","31","27","96.3%","100.0%","10.87","B (3.15)","B- (2.76)"
"Karna, Vishal","ECE 111 - Advanced Digital Design Proj (A)","S321","39","14","92.9%","100.0%","9.07","B+ (3.64)","B+ (3.53)"
"Baghdadchi, Saharnaz","ECE 101 - Linear Systems Fundamentals (A)","S221","54","44","97.7%","100.0%","9.14","B+ (3.32)","B (3.03)"
"Arya, Shaurya","ECE 107 - Electromagnetism (A)","S221","33","16","37.5%","25.0%","13.88","C+ (2.63)","B- (2.78)"
"Silberman, Jack","ECE 148 - Intro to Autonomous Vehicles (A)","S221","8","5","100.0%","80.0%","14.90","B+ (3.60)","N/A"
"Abi Samra, Nicholas Camill","ECE 180 - Topics in ECE (A)","S221","41","16","100.0%","100.0%","5.83","A- (3.87)","B+ (3.67)"
"Abi Samra, Nicholas Camill","ECE 180 - Topics in ECE (B)","S221","16","6","100.0%","100.0%","10.17","B+ (3.67)","N/A"
"Shevchenko, Valentin I","ECE 45 - Circuits and Systems (A)","S221","31","8","75.0%","75.0%","14.50","B- (2.75)","C+ (2.62)"
"Morris, Karcher William","ECE 5 - Intro to ECE (A)","S221","17","13","100.0%","100.0%","8.50","A- (3.73)","N/A"
"Samavat, Mohammad","ECE 109 - Engineering Probability&Stats (A)","S121","60","11","90.9%","72.7%","11.05","B+ (3.45)","B+ (3.44)"
"Al Ajrawi, Shams","ECE 15 - Engineering Computation (A)","S121","38","10","50.0%","20.0%","8.90","A- (3.80)","A- (3.73)"
"Abi Samra, Nicholas Camill","ECE 180 - Topics in ECE (A)","S121","32","8","100.0%","100.0%","6.25","A- (3.88)","B+ (3.63)"
"Abi Samra, Nicholas Camill","ECE 180 - Topics in ECE (B)","S121","25","4","100.0%","100.0%","5.17","B+ (3.33)","B+ (3.37)"
"An, Cheolhong","ECE 180 - Topics in ECE (C)","S121","8","4","25.0%","25.0%","13.50","C (2.25)","N/A"
"Shevchenko, Valentin I","ECE 45 - Circuits and Systems (A)","S121","28","9","66.7%","50.0%","9.61","B (3.00)","B (3.10)"
"Raihan Miah, Mohammad Abu","ECE 65 - Components & Circuits Lab (A)","S121","31","23","100.0%","95.7%","10.86","B+ (3.36)","B- (2.71)"
"Baghdadchi, Saharnaz","ECE 100 - Linear Electronic Systems (A)","SP21","157","129","96.9%","99.2%","8.83","B+ (3.52)","B+ (3.34)"
"Bharadia, Dinesh","ECE 101 - Linear Systems Fundamentals (A)","SP21","114","96","78.1%","62.5%","8.86","B (3.15)","B (3.10)"
"Kuzum, Duygu","ECE 103 - Fundamntls/Devices & Materials (A)","SP21","67","34","87.9%","97.0%","7.50","B (3.13)","B (3.17)"
"Fullerton, Eric E","ECE 107 - Electromagnetism (A)","SP21","55","18","72.2%","77.8%","12.17","B (3.20)","B- (2.86)"
"Zeger, Kenneth A.","ECE 109 - Engineering Probability&Stats (A)","SP21","102","46","80.4%","80.4%","7.02","B (3.23)","B (3.11)"
"Eldon, John","ECE 111 - Advanced Digital Design Proj (A)","SP21","146","44","90.7%","97.7%","6.98","B+ (3.65)","A- (3.94)"
"Sievenpiper, Daniel F.","ECE 123 - Antenna Systems Engineering (A)","SP21","33","15","86.7%","93.3%","6.50","B+ (3.40)","B (3.14)"
"Esmaili, Gholamreza","ECE 124 - Motor Drives (B)","SP21","16","10","90.0%","90.0%","14.70","B+ (3.40)","N/A"
"Esmaili, Gholamreza","ECE 125B - Intro to Power Electronics II (A)","SP21","29","17","88.2%","88.2%","12.50","B+ (3.40)","A- (3.71)"
"Abi Samra, Nicholas Camill","ECE 128C - Power Grid Resiliency (A)","SP21","34","16","100.0%","100.0%","5.83","B+ (3.64)","B+ (3.69)"
"Gessner, Richard K.","ECE 140B - The Art of Product Eng II (A)","SP21","50","12","81.8%","100.0%","13.95","A- (3.89)","B+ (3.59)"
"Khoshabeh, Ramsin","ECE 140B - The Art of Product Eng II (A)","SP21","50","12","81.8%","100.0%","13.95","A- (3.89)","B+ (3.59)"
"Gessner, Richard K.","ECE 141B - Software Foundations II (A)","SP21","36","12","100.0%","100.0%","16.00","B+ (3.50)","B (3.23)"
"Phan, Alex Minh Giang","ECE 144 - LabVIEW Programming (A)","SP21","32","19","94.7%","94.7%","9.66","B (3.12)","B+ (3.52)"
"Silberman, Jack","ECE 148 - Intro to Autonomous Vehicles (A)","SP21","13","9","100.0%","100.0%","12.25","A- (3.75)","N/A"
"Schurgers, Curt","ECE 15 - Engineering Computation (A)","SP21","94","51","80.4%","86.3%","9.44","B (3.15)","C+ (2.37)"
"Zhang, Xinyu","ECE 158B - Data Networks II (A)","SP21","16","5","100.0%","100.0%","9.00","B+ (3.33)","N/A"
"Khoshabeh, Ramsin","ECE 16 - Rapid Hardware & Software Dsn (A)","SP21","21","8","100.0%","100.0%","10.25","A- (3.86)","A- (3.92)"
"Harris, Frederick Joel","ECE 161C - Apps of Digital Signal Process (A)","SP21","42","16","86.7%","86.7%","8.00","A- (3.75)","B+ (3.60)"
"Hsueh, Tzu-Chien","ECE 163 - Electronic Circuits & Systems (A)","SP21","66","58","89.7%","91.4%","8.53","B (3.16)","B (3.24)"
"Mercier, Patrick Philip","ECE 165 - Digtl Integrated Circuit Desgn (A)","SP21","78","39","74.4%","84.6%","11.68","B- (2.97)","B (3.16)"
"Gilja, Vikash","ECE 17 - Object-Oriented Programming (A)","SP21","100","42","82.5%","89.7%","9.55","B+ (3.58)","B+ (3.55)"
"Sworder, David D.","ECE 171A - Linear Control System Theory (A)","SP21","116","42","73.2%","29.3%","8.14","B (3.19)","B+ (3.48)"
"Papen, George C.","ECE 181 - Physical Optics&Fourier Optics (A)","SP21","11","4","75.0%","75.0%","6.50","B+ (3.33)","N/A"
"Cosman, Pamela C.","ECE 189 - Technical Public Speaking (A)","SP21","12","10","100.0%","100.0%","4.30","A (4.00)","N/A"
"Zhang, Xinyu","ECE 191 - Engineering Group Design Proj (A)","SP21","18","5","60.0%","75.0%","13.30","B (3.25)","N/A"
"Morris, Karcher William","ECE 25 - Introduction to Digital Design (A)","SP21","57","29","96.3%","96.3%","6.65","B+ (3.33)","B (3.24)"
"Kang, Mingu","ECE 30 - Intro to Computer Engineering (A)","SP21","159","102","72.5%","85.9%","7.77","B (3.20)","B (3.29)"
"Taur, Yuan","ECE 35 - Introduction to Analog Design (A)","SP21","104","42","71.8%","41.0%","8.74","B- (2.86)","B- (2.95)"
"Taur, Yuan","ECE 35 - Introduction to Analog Design (B)","SP21","18","6","83.3%","50.0%","7.83","B+ (3.50)","N/A"
"Antipa, Nicholas A","ECE 45 - Circuits and Systems (A)","SP21","151","105","70.2%","80.8%","9.08","B- (2.97)","B (3.16)"
