"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"McKay, Michael J","MGT 18 - Managing Diverse Teams (C)","WI17","76","72","94.4%","97.2%","4.89","B+ (3.40)","B (3.05)"
"Dunn, Louis Jean","MGT 181 - Enterprise Finance (A)","WI17","197","188","92.6%","89.4%","5.42","B+ (3.54)","B (3.05)"
"Buchanan, Harold G","MGT 181 - Enterprise Finance (B)","WI17","94","90","90.0%","93.3%","4.66","B+ (3.39)","B+ (3.42)"
"Dunn, Louis Jean","MGT 187 - New Venture Finance (A)","WI17","147","140","89.3%","90.7%","3.92","B+ (3.51)","A- (3.82)"
"Willoughby, Michael Gene","MGT 3 - Quant Methods in Business (A)","WI17","59","43","70.7%","73.2%","4.03","A- (3.72)","B+ (3.32)"
"Willoughby, Michael Gene","MGT 4 - Financial Accounting (A)","WI17","9","4","100.0%","100.0%","6.50","B+ (3.33)","N/A"
"Pecore, Joseph P.","MGT 45 - Principles of Accounting (A)","WI17","180","173","95.3%","99.4%","5.94","B+ (3.54)","B (3.18)"
"Houskeeper, Robert","MGT 5 - Managerial Accounting (A)","WI17","165","144","93.8%","93.1%","4.64","B+ (3.44)","B (3.21)"
"Lindenberger, Wade Douglas","MGT 5 - Managerial Accounting (B)","WI17","109","107","95.3%","97.2%","4.71","B+ (3.55)","B+ (3.57)"
"Prosser, Elise K","MGT 103 - Product Marketing & Management (A)","FA16","73","70","92.9%","88.6%","4.56","B+ (3.61)","B (3.21)"
"Prosser, Elise K","MGT 103 - Product Marketing & Management (B)","FA16","71","69","94.2%","87.0%","3.93","B+ (3.42)","B (3.21)"
"Eberhard, Craig A","MGT 103 - Product Marketing & Management (C)","FA16","76","69","100.0%","98.6%","3.32","B+ (3.67)","B (3.28)"
"Bates, Kenneth Walter","MGT 103 - Product Marketing & Management (D)","FA16","76","57","87.3%","83.6%","5.39","B (3.19)","B (3.07)"
"Ehrich, Kristine R","MGT 103 - Product Marketing & Management (E)","FA16","75","67","98.5%","95.5%","5.24","B (3.29)","B- (2.95)"
"Ehrich, Kristine R","MGT 103 - Product Marketing & Management (F)","FA16","68","63","93.7%","90.5%","5.02","B (3.18)","B- (2.95)"
"Campbell, Robert Harold","MGT 105 - Product Promotion & Brand Mgt (A)","FA16","119","115","99.1%","100.0%","4.09","A- (3.86)","A- (3.77)"
"Eberhard, Craig A","MGT 106 - Sales and Sales Management (A)","FA16","73","71","91.5%","93.0%","3.65","B+ (3.47)","B (3.23)"
"Major, Ivan","MGT 112 - Global Business Strategy (A)","FA16","78","48","71.1%","42.2%","4.10","B+ (3.42)","B+ (3.43)"
"Lindenberger, Wade Douglas","MGT 12 - Personal Financial Management (A)","FA16","97","104","97.1%","98.1%","3.59","A- (3.87)","A- (3.74)"
"Fuller, Robert L.","MGT 121A - Innovation to Market A (A)","FA16","73","68","91.2%","89.7%","4.35","A- (3.85)","A- (3.91)"
"Foit, Delbert F.","MGT 121A - Innovation to Market A (C)","FA16","75","74","93.2%","94.6%","4.97","A- (3.79)","A- (3.82)"
"Sullivan, Robert S.","MGT 129 - Topics in Entrepreneurship (A)","FA16","51","21","88.9%","100.0%","2.97","A- (3.81)","B+ (3.65)"
"Houskeeper, Robert","MGT 131A - Intermediate Accounting A (A)","FA16","138","106","93.3%","94.2%","5.58","B+ (3.57)","B (3.13)"
"Blakley, Bruce","MGT 132 - Auditing (A)","FA16","58","53","73.6%","75.5%","6.24","B (3.26)","B (3.29)"
"Doran, Martha S","MGT 132 - Auditing (B)","FA16","56","50","86.0%","94.0%","6.26","B+ (3.44)","B (3.05)"
"Pecore, Joseph P.","MGT 133 - Advanced Cost Accounting (A)","FA16","72","70","91.4%","95.7%","6.24","B+ (3.34)","B+ (3.40)"
"Houskeeper, Robert","MGT 134 - Federal Taxation-Individuals (A)","FA16","37","20","100.0%","100.0%","5.91","B+ (3.69)","A- (3.75)"
"Anderson, John Charles","MGT 135 - Federal Taxation-Companies (A)","FA16","88","74","89.0%","89.0%","5.44","B+ (3.59)","B (3.26)"
"Perols, Johan Lars","MGT 139 - Accounting Information Systems (A)","FA16","28","22","86.4%","86.4%","8.40","A- (3.70)","B (3.04)"
"Kim, Kihoon","MGT 153 - Business Analytics (A)","FA16","21","29","85.7%","64.3%","5.57","B+ (3.48)","B (3.04)"
"Campbell, Robert Harold","MGT 16 - Personal Ethics at Work (A)","FA16","115","109","98.1%","98.1%","3.63","A- (3.72)","B+ (3.65)"
"Campbell, Robert Harold","MGT 16 - Personal Ethics at Work (B)","FA16","111","104","98.1%","98.1%","3.44","A- (3.90)","B+ (3.65)"
"Moran, Cathleen L.","MGT 16 - Personal Ethics at Work (C)","FA16","73","63","85.2%","55.7%","3.81","B+ (3.46)","B (3.06)"
"McKay, Mary A","MGT 164 - Business and Org Leadership (A)","FA16","51","67","85.1%","82.1%","6.86","B (3.02)","B- (2.83)"
"McKay, Mary A","MGT 164 - Business and Org Leadership (B)","FA16","74","70","90.0%","82.9%","5.53","B (3.21)","B- (2.83)"
"Moran, Cathleen L.","MGT 166 - Corp Social Responsibility (A)","FA16","76","71","90.1%","84.5%","5.84","B+ (3.31)","B (3.19)"
"Moran, Cathleen L.","MGT 166 - Corp Social Responsibility (B)","FA16","51","69","92.8%","87.0%","5.50","B (3.21)","B (3.19)"
"Hedges, Kathleen","MGT 172 - Business Project Management (A)","FA16","68","87","95.4%","95.4%","4.79","B+ (3.60)","B+ (3.52)"
"Royal, Rebecca","MGT 172 - Business Project Management (A)","FA16","70","62","96.8%","93.5%","4.74","B+ (3.64)","B (3.17)"
"Hedges, Kathleen","MGT 172 - Business Project Management (B)","FA16","78","74","97.3%","97.3%","4.72","A- (3.71)","B+ (3.52)"
"Zimmermann, Carsten","MGT 172 - Business Project Management (C)","FA16","66","60","93.2%","94.9%","3.69","B+ (3.50)","B (3.15)"
"Gopal, Christopher S.","MGT 174 - Supply Chain & Operations Mgt (A)","FA16","36","39","71.1%","68.4%","5.31","B (3.19)","B (3.22)"
"McKay, Mary A","MGT 18 - Managing Diverse Teams (A)","FA16","69","63","96.8%","95.2%","4.85","B+ (3.34)","B- (2.93)"
"McKay, Michael J","MGT 18 - Managing Diverse Teams (B)","FA16","77","75","93.2%","100.0%","4.31","B+ (3.56)","B (3.06)"
"McKay, Michael J","MGT 18 - Managing Diverse Teams (C)","FA16","75","69","92.8%","91.3%","3.86","B+ (3.39)","B (3.06)"
"McKay, Michael J","MGT 18 - Managing Diverse Teams (D)","FA16","76","77","92.2%","93.5%","4.21","B+ (3.69)","B (3.06)"
"Dunn, Louis Jean","MGT 181 - Enterprise Finance (A)","FA16","164","160","93.1%","91.9%","5.46","B+ (3.58)","B (3.17)"
"Dunn, Louis Jean","MGT 181 - Enterprise Finance (B)","FA16","127","122","86.9%","88.5%","4.37","B+ (3.55)","B (3.17)"
"Parashar, Sat P","MGT 184 - Money and Banking (A)","FA16","46","58","91.4%","89.7%","3.76","B+ (3.61)","B+ (3.62)"
"Willoughby, Michael Gene","MGT 4 - Financial Accounting (A)","FA16","10","8","62.5%","50.0%","7.00","C+ (2.50)","N/A"
"Pecore, Joseph P.","MGT 45 - Principles of Accounting (A)","FA16","132","128","98.4%","98.4%","5.95","B+ (3.56)","B (3.19)"
"Pecore, Joseph P.","MGT 45 - Principles of Accounting (B)","FA16","138","135","98.5%","99.3%","5.86","B+ (3.46)","B (3.19)"
"Houskeeper, Robert","MGT 5 - Managerial Accounting (A)","FA16","161","148","89.0%","87.0%","4.44","B+ (3.46)","B (3.08)"
"Lindenberger, Wade Douglas","MGT 5 - Managerial Accounting (B)","FA16","111","107","95.3%","95.3%","5.57","B+ (3.50)","B (3.15)"
"Campbell, Robert Harold","MGT 103 - Product Marketing & Management (A)","S216","112","100","100.0%","100.0%","5.62","A- (3.72)","B+ (3.50)"
"Fuller, Robert L.","MGT 112 - Global Business Strategy (A)","S216","68","65","92.3%","98.5%","6.85","A- (3.78)","A- (3.84)"
"Maki, Kanetaka","MGT 121A - Innovation to Market A (A)","S216","55","53","92.3%","92.3%","6.59","A- (3.81)","B+ (3.53)"
"Anderson, John Charles","MGT 131B - Intermediate Accounting B (A)","S216","60","40","97.5%","92.5%","7.70","B+ (3.63)","B (3.18)"
"Lindenberger, Wade Douglas","MGT 136 - Advanced Accounting (A)","S216","25","25","96.0%","100.0%","7.46","B+ (3.68)","A- (3.81)"
"McKay, Mary A","MGT 18 - Managing Diverse Teams (A)","S216","45","40","87.2%","89.7%","5.53","B- (2.95)","B- (2.71)"
"Anderson, John Charles","MGT 4 - Financial Accounting (A)","S216","53","43","90.7%","86.0%","6.69","B+ (3.56)","B+ (3.32)"
"Pecore, Joseph P.","MGT 45 - Principles of Accounting (A)","S216","44","34","91.2%","97.1%","6.38","B+ (3.47)","B- (2.94)"
"Houskeeper, Robert","MGT 131A - Intermediate Accounting A (A)","S116","33","7","100.0%","100.0%","7.36","B+ (3.43)","B- (2.86)"
"Anderson, John Charles","MGT 132 - Auditing (A)","S116","47","30","86.7%","93.3%","8.43","B+ (3.52)","B (3.16)"
"Ravetch, David","MGT 138 - Info Technology and Accounting (A)","S116","17","7","100.0%","100.0%","5.64","A (4.00)","N/A"
"McKay, Michael J","MGT 16 - Personal Ethics at Work (A)","S116","39","34","97.1%","100.0%","5.91","B+ (3.45)","B (3.18)"
"Hedges, Kathleen","MGT 172 - Business Project Management (A)","S116","71","65","95.4%","98.5%","4.91","B+ (3.65)","B+ (3.43)"
"McKay, Mary A","MGT 18 - Managing Diverse Teams (A)","S116","53","48","89.6%","87.5%","6.46","B+ (3.31)","B- (2.91)"
"Dunn, Louis Jean","MGT 181 - Enterprise Finance (A)","S116","95","87","88.5%","94.3%","5.42","B+ (3.54)","B+ (3.31)"
"Houskeeper, Robert","MGT 5 - Managerial Accounting (A)","S116","48","14","100.0%","85.7%","5.27","B+ (3.43)","B (3.18)"
"Prosser, Elise K","MGT 103 - Product Marketing & Management (A)","SP16","72","65","100.0%","98.5%","4.50","B+ (3.68)","B (3.18)"
"Prosser, Elise K","MGT 103 - Product Marketing & Management (B)","SP16","72","68","91.0%","86.6%","4.44","B+ (3.44)","B (3.18)"
"Prosser, Elise K","MGT 103 - Product Marketing & Management (C)","SP16","72","64","93.7%","88.9%","4.40","B+ (3.64)","B (3.18)"
"Campbell, Robert Harold","MGT 103 - Product Marketing & Management (D)","SP16","99","96","99.0%","99.0%","3.76","A- (3.84)","A- (3.71)"
"Bates, Kenneth Walter","MGT 103 - Product Marketing & Management (E)","SP16","73","60","88.3%","80.0%","4.12","B+ (3.38)","B (3.19)"
"Ehrich, Kristine R","MGT 103 - Product Marketing & Management (F)","SP16","74","69","78.3%","75.4%","5.09","B- (2.97)","B- (2.94)"
"Ehrich, Kristine R","MGT 103 - Product Marketing & Management (G)","SP16","74","72","85.9%","69.0%","4.05","B (3.15)","B- (2.94)"
"Fuller, Robert L.","MGT 112 - Global Business Strategy (A)","SP16","80","76","85.5%","86.8%","4.72","B+ (3.69)","A- (3.76)"
"Somasundaram, Tyagarajan","MGT 112 - Global Business Strategy (B)","SP16","32","29","86.2%","89.7%","6.98","B (3.17)","B (3.27)"
"Somasundaram, Tyagarajan","MGT 112 - Global Business Strategy (C)","SP16","27","25","92.0%","100.0%","6.50","B+ (3.42)","B (3.27)"
"Fuller, Robert L.","MGT 112 - Global Business Strategy (D)","SP16","75","70","85.7%","90.0%","4.96","B+ (3.63)","A- (3.76)"
"Pecore, Joseph P.","MGT 12 - Personal Financial Management (A)","SP16","154","143","96.5%","97.2%","2.91","B+ (3.62)","B (3.22)"
"Rutherford, Lamar","MGT 121A - Innovation to Market A (A)","SP16","69","35","87.9%","87.9%","4.44","B+ (3.42)","B- (2.93)"
