"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Britt, King James","MUS 173 - Electronic Music Prod & Comp (A)","FA21","32","13","100.0%","100.0%","9.88","A- (3.83)","A- (3.99)"
"Burr, Anthony I","MUS 174A - Audio&MIDIStudioTechniques I (A)","FA21","26","11","100.0%","81.8%","3.41","A (4.00)","A- (3.94)"
"Britt, King James","MUS 19 - Blacktronika: Afrofuturism (A)","FA21","246","120","98.3%","97.4%","2.64","A- (3.82)","A- (3.74)"
"Zhang, Shaoai","MUS 1A - Fundamentals of Music A (A)","FA21","135","91","95.5%","97.8%","2.37","A- (3.84)","A- (3.75)"
"Stephenson, Alex Edward","MUS 1A - Fundamentals of Music A (B)","FA21","137","87","100.0%","100.0%","3.03","A- (3.96)","A- (3.84)"
"Richards, Stephanie F","MUS 2A - Basic Musicianship (A)","FA21","37","26","96.2%","88.5%","3.50","B+ (3.68)","B (3.11)"
"Ohnishi, Takae","MUS 2AK - Basic Keyboard (B)","FA21","6","3","100.0%","100.0%","3.83","B+ (3.33)","N/A"
"Ohnishi, Takae","MUS 2AK - Basic Keyboard (C)","FA21","11","7","100.0%","100.0%","2.83","A (4.00)","N/A"
"Liang, Lei","MUS 33A - Introduction to Composition I (A)","FA21","15","7","100.0%","100.0%","5.07","A (4.00)","N/A"
"Brindamour, Lydia Winsor","MUS 4 - Introduction to Western Music (A)","FA21","164","69","97.0%","100.0%","3.51","A- (3.80)","B+ (3.58)"
"Burr, Anthony I","MUS 43 - Department Seminar (A)","FA21","92","33","93.5%","96.8%","0.82","A (4.00)","N/A"
"Dubnov, Shlomo","MUS 5 - Sound in Time (A)","FA21","193","71","68.7%","78.8%","2.35","A- (3.91)","B+ (3.56)"
"Schneider, Berk Waldemar","MUS 6 - Electronic Music (A)","FA21","112","78","88.5%","96.2%","3.05","A- (3.90)","A- (3.86)"
"Tiruviluamala, Nakul Venkat","MUS 7 - Music, Media and Technology (A)","FA21","113","49","91.8%","95.9%","2.79","A- (3.85)","A (4.00)"
"Kenyatta, Kamau","MUS 8 - American Music: Jazz Cultures (A)","FA21","137","55","98.1%","100.0%","1.71","A- (3.90)","A- (3.88)"
"Schick, Steven","MUS 9 - Symphony (A)","FA21","123","57","98.2%","96.3%","1.93","A- (3.90)","A- (3.72)"
"Carlson, Erik Norman","MUS 95E - Chamber Orchestra (A)","FA21","23","16","93.8%","100.0%","1.13","A (4.00)","A (4.00)"
"Anderson, Kenneth","MUS 95G - Gospel Choir (A)","FA21","312","101","99.0%","100.0%","1.44","A- (3.96)","N/A"
"Anderson, Kenneth","MUS 95G - Gospel Choir (B)","FA21","185","73","97.1%","98.5%","1.69","A- (3.90)","N/A"
"Kenyatta, Kamau","MUS 95JC - Jazz Chamber Ensembles (A)","FA21","24","10","100.0%","100.0%","2.75","A (4.00)","A (4.00)"
"Byers, Barbara Lee","MUS 95K - Chamber Singers (A)","FA21","17","6","100.0%","83.3%","1.50","A (4.00)","N/A"
"Jones, Michael David","MUS 95L - Wind Ensemble (A)","FA21","45","21","100.0%","95.2%","1.26","A (4.00)","A (4.00)"
"Seshadri, Kartik","MUS 95W - World Music Ensembles (A)","FA21","44","17","82.4%","82.4%","1.68","A- (3.93)","A- (3.87)"
"Vine, Anthony Dominic","MUS 14 - Contemporary Music (A)","S221","21","8","100.0%","100.0%","3.50","A- (3.83)","A- (3.84)"
"Brindamour, Lydia Winsor","MUS 14 - Contemporary Music (B)","S221","25","11","100.0%","100.0%","3.59","A- (3.82)","A- (3.71)"
"Schulmeister, Kathryn Crandall","MUS 15 - Popular Music (A)","S221","23","9","100.0%","100.0%","4.94","A- (3.78)","A- (3.88)"
"Schwenkler, Kevin Allen","MUS 15 - Popular Music (B)","S221","16","6","83.3%","100.0%","4.17","B (3.00)","N/A"
"Borgo, David Garcia","MUS 150 - Jazz & Music/African Diaspora (A)","S221","20","18","77.8%","83.3%","7.28","B+ (3.39)","B+ (3.67)"
"Tiruviluamala, Nakul Venkat","MUS 173 - Electronic Music Prod & Comp (A)","S221","22","4","100.0%","100.0%","4.50","A (4.00)","A (4.00)"
"Greenstone, Madison Kearsley","MUS 4 - Introduction to Western Music (A)","S221","23","6","100.0%","100.0%","2.90","A- (3.80)","A- (3.92)"
"Mitsialis, Ioannis","MUS 5 - Sound in Time (A)","S221","25","8","85.7%","100.0%","3.64","A (4.00)","A- (3.90)"
"Smith, Alexandria Renata","MUS 6 - Electronic Music (A)","S221","22","9","100.0%","100.0%","5.61","A- (3.88)","A- (3.90)"
"Zhou, Tiange","MUS 7 - Music, Media and Technology (A)","S221","22","13","69.2%","76.9%","3.67","A- (3.82)","A- (3.74)"
"Borgo, David Garcia","MUS 8 - American Music: Jazz Cultures (A)","S221","15","10","100.0%","100.0%","7.50","A- (3.75)","N/A"
"Liu, Anqi","MUS 80 - Special Topics in Music (A)","S221","20","7","85.7%","100.0%","4.79","B+ (3.50)","B+ (3.56)"
"Lloyd-Jones, Rebecca Louise","MUS 14 - Contemporary Music (A)","S121","25","5","100.0%","100.0%","3.30","A- (3.80)","A- (3.92)"
"Greenstone, Madison Kearsley","MUS 14 - Contemporary Music (B)","S121","16","3","100.0%","100.0%","3.17","B+ (3.33)","N/A"
"Dubnov, Shlomo","MUS 15 - Popular Music (A)","S121","21","8","87.5%","87.5%","4.50","B+ (3.63)","B+ (3.60)"
"Smith, Alexandria Renata","MUS 15 - Popular Music (B)","S121","22","14","92.9%","85.7%","7.21","A- (3.83)","A- (3.95)"
"Vine, Anthony Dominic","MUS 15 - Popular Music (C)","S121","23","12","100.0%","100.0%","3.67","A (4.00)","A- (3.98)"
"Schneider, Berk Waldemar","MUS 4 - Introduction to Western Music (A)","S121","24","20","100.0%","95.0%","6.20","A- (3.80)","A- (3.72)"
"Gutierrez Martinez, Andres","MUS 5 - Sound in Time (A)","S121","24","7","100.0%","100.0%","6.21","A (4.00)","A- (3.86)"
"Zhou, Tiange","MUS 7 - Music, Media and Technology (A)","S121","20","4","50.0%","75.0%","3.83","A (4.00)","A- (3.71)"
"Mitsialis, Ioannis","MUS 80 - Special Topics in Music (A)","S121","18","7","100.0%","100.0%","4.50","A- (3.83)","N/A"
"Tiruviluamala, Nakul Venkat","MUS 80 - Special Topics in Music (B)","S121","20","7","71.4%","100.0%","5.07","B (3.25)","A (4.00)"
"Burr, Anthony I","MUS 101C - Music Theory and Practice III (A)","SP21","24","9","100.0%","88.9%","4.06","A- (3.78)","B+ (3.64)"
"Terrazas Perez, Wilfrido D","MUS 11 - Folk Music (A)","SP21","206","86","98.8%","100.0%","2.34","A- (3.99)","A- (3.88)"
"Vine, Anthony Dominic","MUS 114 - Music of The 20th Century (A)","SP21","134","53","98.1%","100.0%","3.62","A- (3.94)","A- (3.91)"
"Leslie, Matthew","MUS 120C - Hist Mus in Westrn Culture III (A)","SP21","18","6","100.0%","100.0%","2.83","A (4.00)","N/A"
"Davis, Anthony Curtis","MUS 127 - Discover Jazz (A)","SP21","115","38","64.7%","55.9%","4.21","A- (3.77)","A- (3.85)"
"Guy, Nancy","MUS 13 - Worlds of Music (A)","SP21","85","32","81.3%","77.4%","3.50","B+ (3.45)","B+ (3.39)"
"Kenyatta, Kamau","MUS 137C - Jazz Theory and Improvisation (A)","SP21","17","9","100.0%","100.0%","4.28","A (4.00)","N/A"
"Da Silva, Marcos Balter Ma","MUS 14 - Contemporary Music (A)","SP21","77","35","100.0%","100.0%","3.26","A (4.00)","A- (3.79)"
"Leslie, Matthew","MUS 15 - Popular Music (A)","SP21","286","91","95.5%","98.9%","2.97","A- (3.88)","B+ (3.70)"
"Yadegari, Shahrokh D","MUS 160B - Senior Proj/Computing Arts II (A)","SP21","8","4","75.0%","75.0%","4.00","B- (2.75)","N/A"
"Dubnov, Shlomo","MUS 160B - Senior Proj/Computing Arts II (B)","SP21","10","4","75.0%","100.0%","10.00","A (4.00)","N/A"
"Burr, Anthony I","MUS 17 - Hip-Hop (A)","SP21","476","159","94.2%","91.6%","3.06","A- (3.81)","B+ (3.61)"
"Puckette, Miller S.","MUS 170 - Musical Acoustics (B)","SP21","59","27","81.5%","85.2%","3.61","A- (3.86)","A- (3.70)"
"Erbe, Tom","MUS 172 - Computer Music II (A)","SP21","11","5","100.0%","100.0%","8.10","B+ (3.67)","N/A"
