"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Chadha, Mayank","SE 101B - Mechanics II: Dynamics (A)","SP21","19","10","90.0%","90.0%","6.10","B (3.00)","N/A"
"Qiao, Yu","SE 105 - Structural Materials (A)","SP21","96","28","100.0%","100.0%","7.93","B+ (3.40)","B (3.28)"
"Zhu, Qiang","SE 110B - Solid Mechanics II (A)","SP21","55","13","100.0%","100.0%","4.81","B+ (3.62)","B (3.17)"
"Mosqueda, Gilberto","SE 130B - Structural Analysis II (A)","SP21","90","26","84.6%","84.6%","8.88","B (3.14)","B (3.29)"
"Krysl, Petr","SE 131A - Finite Element Analysis (A)","SP21","137","38","63.9%","51.4%","9.33","B (3.13)","B (3.11)"
"Chen, Jiun-Shyan","SE 132 - Machine Learning for SE (A)","SP21","26","8","100.0%","100.0%","10.75","B+ (3.50)","A- (3.82)"
"Restrepo, Jose","SE 140B - Design of Civil Structures II (A)","SP21","92","25","100.0%","91.3%","17.33","B+ (3.45)","A- (3.80)"
"Kim, Hyonny","SE 143B - Aerospace Structural Design II (A)","SP21","13","8","100.0%","100.0%","16.25","B+ (3.50)","N/A"
"Kosmatka, John B","SE 143B - Aerospace Structural Design II (A)","SP21","13","8","100.0%","100.0%","16.25","B+ (3.50)","N/A"
"Uang, Chia-Ming","SE 150A - Design of Steel Structures (A)","SP21","78","17","94.1%","100.0%","9.68","B+ (3.50)","B (3.25)"
"Morrison, Machel Leigh","SE 150B - Design of Steel Structures II (A)","SP21","16","12","100.0%","100.0%","6.50","B+ (3.50)","N/A"
"Tsampras, Georgios","SE 151B - Design of Prestressed Concrete (A)","SP21","40","36","100.0%","100.0%","8.28","B+ (3.31)","B (3.24)"
"Kim, Hyunsun Alicia","SE 160B - Aerospace Structural Mechs II (A)","SP21","95","76","85.5%","81.6%","6.79","B (3.20)","B- (2.97)"
"Lanza Di Scalea, Francesco","SE 163 - Nondestructive Evaluation (A)","SP21","22","13","100.0%","100.0%","9.58","B+ (3.62)","B+ (3.32)"
"Farrar, Charles R.","SE 165 - Structural Health Monitoring (A)","SP21","13","5","20.0%","40.0%","11.70","A (4.00)","N/A"
"Hutchinson, Tara","SE 184 - Ground Improvement (B)","SP21","11","4","100.0%","75.0%","10.00","B (3.25)","N/A"
"Van Den Einde, Yael Dahlia","SE 3 - Graphical Comm for Eng Design (A)","SP21","143","57","87.7%","78.9%","11.69","B+ (3.52)","B (3.09)"
"Kuester, Falko","SE 9 - Algorithms&Programming for SE (A)","SP21","39","10","88.9%","100.0%","5.50","A- (3.89)","A- (3.76)"
"Marquez, Joaquin Fabian","SE 101A - Mechanics I: Statics (A)","WI21","24","16","100.0%","93.3%","7.03","B (3.07)","B- (2.93)"
"Todd, Michael","SE 101B - Mechanics II: Dynamics (A)","WI21","85","29","75.9%","75.9%","7.60","B (3.04)","C+ (2.65)"
"Jandaghi Semnani, Shabnam","SE 102 - Intro. to Computing for Eng. (A)","WI21","109","98","69.4%","82.7%","8.66","B (3.12)","B+ (3.34)"
"Van Den Einde, Yael Dahlia","SE 103 - Conceptual Structural Design (A)","WI21","96","76","86.8%","75.0%","14.05","B+ (3.32)","B (3.15)"
"Asaro, Robert J","SE 110A - Solid Mechanics I (B)","WI21","49","18","83.3%","50.0%","10.28","B+ (3.61)","B+ (3.61)"
"Zhu, Qiang","SE 115 - Fluid Mechanics/Structural Eng (A)","WI21","136","73","91.4%","90.0%","6.07","B+ (3.40)","B (3.25)"
"Mosqueda, Gilberto","SE 130A - Structural Analysis I (B)","WI21","35","26","88.0%","80.0%","9.65","B- (2.87)","B- (2.86)"
"Uang, Chia-Ming","SE 140A - Design of Civil Structures I (A)","WI21","95","27","96.0%","100.0%","12.98","B+ (3.52)","B+ (3.59)"
"Shing, P. Benson","SE 151A - Design of Reinforced Concrete (A)","WI21","95","31","67.7%","51.6%","12.82","C+ (2.33)","B- (2.98)"
"Kosmatka, John B","SE 160A - Aerospace Structural Mechs I (A)","WI21","103","88","75.0%","31.8%","9.27","B- (2.78)","B (3.05)"
"Loh, Kenneth J. H.","SE 164 - Sensors/Data Acquisition SE (A)","WI21","13","11","90.9%","100.0%","7.23","A- (3.73)","N/A"
"Kim, Hyonny","SE 171 - Aerospace Structures Repair (A)","WI21","12","3","100.0%","100.0%","6.50","B+ (3.33)","N/A"
"Kim, Hyonny","SE 171 - Aerospace Structures Repair (B)","WI21","8","3","66.7%","100.0%","5.83","C (2.00)","N/A"
"Tomac, Ingrid","SE 182 - Foundation Engineering (A)","WI21","47","12","81.8%","63.6%","9.23","B+ (3.55)","B+ (3.42)"
"Van Den Einde, Yael Dahlia","SE 1 - Intro. to Structures & Design (A)","FA20","142","111","96.4%","95.5%","7.89","B+ (3.59)","B (3.16)"
"Morrison, Machel Leigh","SE 101A - Mechanics I: Statics (A)","FA20","73","36","91.7%","94.4%","7.83","B (3.17)","C+ (2.68)"
"Zhu, Qiang","SE 101C - Mechanics III: Vibrations (A)","FA20","110","37","75.0%","75.0%","7.41","B (3.14)","B (3.06)"
"Conte, Joel P","SE 125 - Stats, Probability&Reliability (A)","FA20","186","55","74.5%","83.6%","10.94","B- (2.75)","B (3.22)"
"Loh, Kenneth J. H.","SE 130A - Structural Analysis I (B)","FA20","55","15","86.7%","73.3%","12.37","C+ (2.53)","B- (2.73)"
"Krysl, Petr","SE 131B - Computing Projects in SE (A)","FA20","88","22","77.3%","68.2%","11.95","B (3.23)","B (3.04)"
"Kim, Hyonny","SE 142 - Mech/Design Composite Str (A)","FA20","35","13","92.3%","100.0%","8.19","B- (2.85)","B (3.19)"
"Elgamal, Ahmed","SE 180 - Earthquake Engineering (A)","FA20","54","17","88.2%","82.4%","10.50","B- (2.88)","B+ (3.46)"
"McCartney, John Scott","SE 181 - Geotechnical Engineering (A)","FA20","104","31","96.6%","96.6%","9.05","B+ (3.62)","B+ (3.62)"
"Chavez Morales, Rodrigo Enrique","SE 101B - Mechanics II: Dynamics (A)","S220","26","10","40.0%","55.6%","9.50","C+ (2.60)","C+ (2.57)"
"Lin, Kuanpo","SE 130B - Structural Analysis II (A)","S220","35","6","83.3%","100.0%","9.83","B+ (3.33)","B (3.19)"
"Li, Chaohsien","SE 150 - Design of Steel Structures (A)","S220","16","6","66.7%","83.3%","12.83","B (3.20)","N/A"
"Adams, Dave Kenneth","SE 154 - Design of Timber Structures (A)","S220","51","17","100.0%","93.8%","9.09","A- (3.73)","B+ (3.48)"
"Marquez, Joaquin Fabian","SE 101A - Mechanics I: Statics (A)","S120","21","6","83.3%","83.3%","8.17","B (3.20)","B (3.20)"
"GUPTA, SUMIT","SE 101C - Mechanics III: Vibrations (A)","S120","17","17","100.0%","100.0%","8.03","B+ (3.31)","N/A"
"Faraone, Gloria","SE 110A - Solid Mechanics I (A)","S120","13","9","100.0%","100.0%","10.06","B (3.25)","N/A"
"Lin, Kuanpo","SE 130A - Structural Analysis I (A)","S120","43","24","95.7%","100.0%","9.89","B+ (3.58)","B+ (3.66)"
"Todd, Michael","SE 101B - Mechanics II: Dynamics (B)","SP20","34","17","94.1%","100.0%","6.62","B (3.14)","B (3.08)"
"Qiao, Yu","SE 105 - Structural Materials (A)","SP20","114","52","77.1%","79.2%","8.63","B (3.26)","B+ (3.64)"
"Chen, Jiun-Shyan","SE 110B - Solid Mechanics II (A)","SP20","75","32","96.6%","100.0%","7.81","B+ (3.42)","A- (3.92)"
"Saritas, Afsin","SE 110B - Solid Mechanics II (B)","SP20","45","11","81.8%","90.0%","11.59","B (3.00)","B+ (3.46)"
"Wang, Xiang","SE 130B - Structural Analysis II (A)","SP20","46","18","82.4%","70.6%","8.97","B+ (3.50)","B+ (3.56)"
"Wang, Xiang","SE 130B - Structural Analysis II (B)","SP20","49","14","53.8%","53.8%","12.64","B (3.11)","B+ (3.48)"
"Krysl, Petr","SE 131B - Computing Projects in SE (A)","SP20","50","16","75.0%","75.0%","8.13","B- (2.88)","A- (3.72)"
"Restrepo, Jose","SE 140B - Design of Civil Structures II (A)","SP20","81","35","85.3%","94.1%","17.21","B+ (3.37)","B+ (3.43)"
"Kim, Hyonny","SE 143B - Aerospace Structural Design II (A)","SP20","24","9","75.0%","100.0%","13.00","A- (3.80)","B+ (3.60)"
"Kosmatka, John B","SE 143B - Aerospace Structural Design II (A)","SP20","24","9","75.0%","87.5%","13.00","A- (3.80)","B+ (3.60)"
"Uang, Chia-Ming","SE 150 - Design of Steel Structures (A)","SP20","82","29","96.6%","100.0%","9.79","B (3.19)","B+ (3.66)"
"Megally, Sami Hanna","SE 151B - Design of Prestressed Concrete (A)","SP20","63","58","94.7%","96.5%","11.31","B+ (3.65)","A- (3.72)"
"Kim, Hyunsun Alicia","SE 160B - Aerospace Structural Mechs II (A)","SP20","158","84","81.9%","76.8%","8.26","B (3.14)","B+ (3.41)"
"Lanza Di Scalea, Francesco","SE 163 - Nondestructive Evaluation (A)","SP20","39","26","96.2%","92.3%","7.27","B (3.29)","B+ (3.53)"
"Van Den Einde, Yael Dahlia","SE 3 - Graphical Comm for Eng Design (A)","SP20","100","30","79.3%","71.4%","13.23","B (3.29)","B+ (3.43)"
"Kuester, Falko","SE 9 - Algorithms&Programming for SE (A)","SP20","37","11","80.0%","88.9%","6.50","B+ (3.56)","B+ (3.53)"
"Morrison, Machel Leigh","SE 101A - Mechanics I: Statics (A)","WI20","35","10","87.5%","87.5%","6.94","C+ (2.56)","C- (1.94)"
"Eliasson, Veronica","SE 101B - Mechanics II: Dynamics (A)","WI20","41","40","82.5%","95.0%","12.00","C+ (2.68)","C+ (2.51)"
"Eliasson, Veronica","SE 101B - Mechanics II: Dynamics (B)","WI20","44","42","83.3%","92.9%","11.98","B- (2.90)","B- (2.76)"
"Van Den Einde, Yael Dahlia","SE 103 - Conceptual Structural Design (A)","WI20","98","34","87.9%","71.9%","14.50","B (3.24)","B (3.13)"
"Lubarda, Marko","SE 110A - Solid Mechanics I (A)","WI20","92","52","100.0%","82.2%","5.65","B+ (3.55)","B+ (3.52)"
"Zhu, Qiang","SE 115 - Fluid Mechanics/Structural Eng (A)","WI20","100","31","93.3%","96.7%","6.63","B+ (3.33)","B+ (3.42)"
"Carreno Vallejos, Rodrigo Patricio","SE 130A - Structural Analysis I (B)","WI20","21","11","100.0%","100.0%","8.90","B- (2.90)","C+ (2.66)"
"Krysl, Petr","SE 131A - Finite Element Analysis (A)","WI20","128","40","74.4%","81.6%","8.50","B+ (3.33)","B (3.28)"
"Uang, Chia-Ming","SE 140A - Design of Civil Structures I (A)","WI20","83","18","100.0%","100.0%","11.32","B+ (3.53)","B (3.28)"
"Kim, Hyonny","SE 143A - Aerospace Structural Design I (A)","WI20","24","9","100.0%","100.0%","11.83","B (3.22)","A- (3.73)"
"Kosmatka, John B","SE 143A - Aerospace Structural Design I (A)","WI20","24","9","100.0%","66.7%","11.83","B (3.22)","A- (3.73)"
"Shing, P. Benson","SE 151A - Design of Reinforced Concrete (A)","WI20","85","24","95.7%","82.6%","12.24","C (2.26)","B- (2.99)"
"Kosmatka, John B","SE 160A - Aerospace Structural Mechs I (A)","WI20","160","104","54.4%","25.2%","11.84","C+ (2.41)","B- (2.76)"
"Kim, Hyonny","SE 171 - Aerospace Structures Repair (A)","WI20","27","21","100.0%","100.0%","6.21","B+ (3.67)","B+ (3.47)"
"Tomac, Ingrid","SE 182 - Foundation Engineering (A)","WI20","38","34","55.9%","35.3%","7.21","B (3.15)","B+ (3.58)"
"Van Den Einde, Yael Dahlia","SE 1 - Intro. to Structures & Design (A)","FA19","105","88","92.0%","93.1%","6.80","B (3.18)","B- (2.85)"
"Chadha, Mayank","SE 101A - Mechanics I: Statics (A)","FA19","46","37","100.0%","91.9%","8.82","B (3.14)","B (3.28)"
"Carreno Vallejos, Rodrigo Patricio","SE 101A - Mechanics I: Statics (C)","FA19","47","23","95.7%","91.3%","8.59","B+ (3.43)","B (3.12)"
"Zhu, Qiang","SE 101C - Mechanics III: Vibrations (A)","FA19","49","16","85.7%","78.6%","6.36","B- (2.93)","B (3.04)"
"Zhu, Qiang","SE 101C - Mechanics III: Vibrations (C)","FA19","77","30","75.0%","69.0%","7.43","B- (2.93)","B (3.08)"
"Jandaghi Semnani, Shabnam","SE 121A - Intro. to Computing for Eng. (A)","FA19","107","43","51.2%","51.2%","10.22","B- (2.88)","B (3.20)"
"Conte, Joel P","SE 125 - Stats, Probability&Reliability (A)","FA19","89","18","80.0%","100.0%","10.37","B- (2.73)","B (3.06)"
"Mosqueda, Gilberto","SE 130A - Structural Analysis I (A)","FA19","79","50","86.0%","85.7%","10.38","B (3.02)","C+ (2.67)"
"Kosmatka, John B","SE 142 - Design of Composite Structures (A)","FA19","34","7","83.3%","83.3%","17.50","B (3.00)","B (3.27)"
"Loh, Kenneth J. H.","SE 164 - Sensors/Data Acquisition SE (A)","FA19","17","12","83.3%","100.0%","8.00","B- (2.82)","N/A"
"Elgamal, Ahmed","SE 180 - Earthquake Engineering (A)","FA19","77","10","71.4%","71.4%","10.00","B (3.13)","B (3.29)"
"McCartney, John Scott","SE 181 - Geotechnical Engineering (A)","FA19","69","12","91.7%","91.7%","8.17","B (3.27)","B+ (3.51)"
"Wang, Long","SE 1 - Intro. to Structures & Design (A)","S219","12","7","85.7%","100.0%","4.50","A- (3.71)","N/A"
"Eliasson, Veronica","SE 101B - Mechanics II: Dynamics (A)","S219","13","13","100.0%","100.0%","10.81","B- (2.77)","N/A"
"Abi Ghanem, Maroun","SE 101C - Mechanics III: Vibrations (A)","S219","13","9","100.0%","88.9%","8.94","B- (2.89)","N/A"
"Oberrecht, Stephen Patrick","SE 130B - Structural Analysis II (A)","S219","19","8","62.5%","25.0%","10.25","C+ (2.43)","N/A"
"Reynolds, Mathew Peter","SE 150 - Design of Steel Structures (A)","S219","21","13","100.0%","100.0%","9.83","B+ (3.31)","B (3.24)"
"Adams, Dave Kenneth","SE 154 - Design of Timber Structures (A)","S219","25","12","100.0%","100.0%","7.67","B+ (3.45)","B+ (3.54)"
"Schiller, Brandon Vincent","SE 181 - Geotechnical Engineering (A)","S219","23","23","100.0%","100.0%","9.63","B+ (3.30)","B+ (3.53)"
"Amaddeo, Carmen","SE 130A - Structural Analysis I (A)","S119","32","7","100.0%","100.0%","10.21","B+ (3.57)","B (3.08)"
"Lubarda, Marko","SE 101A - Mechanics I: Statics (A)","SP19","7","5","100.0%","100.0%","5.70","B+ (3.40)","N/A"
"Ghazinejad, Maziar","SE 101B - Mechanics II: Dynamics (A)","SP19","10","10","90.0%","100.0%","7.50","B- (2.70)","N/A"
"Friend, James Robert","SE 101B - Mechanics II: Dynamics (B)","SP19","9","8","75.0%","87.5%","12.50","C+ (2.38)","N/A"
"Qiao, Yu","SE 104 - Structural Materials (A)","SP19","114","56","83.3%","74.1%","7.09","B (3.15)","B (3.14)"
"Qiao, Yu","SE 104L - Structural Materials Lab (A)","SP19","30","8","100.0%","100.0%","5.07","B+ (3.43)","B+ (3.50)"
"Qiao, Yu","SE 104L - Structural Materials Lab (B)","SP19","30","14","71.4%","91.7%","6.64","B (3.07)","B+ (3.50)"
"Qiao, Yu","SE 104L - Structural Materials Lab (C)","SP19","20","7","57.1%","85.7%","4.50","B (3.14)","B+ (3.50)"
"Qiao, Yu","SE 104L - Structural Materials Lab (D)","SP19","30","15","93.3%","73.3%","7.43","B+ (3.53)","B+ (3.50)"
"Lanza Di Scalea, Francesco","SE 110B - Solid Mechanics II (A)","SP19","74","53","94.2%","100.0%","6.31","B+ (3.54)","B+ (3.30)"
"Amaddeo, Carmen","SE 110B - Solid Mechanics II (B)","SP19","49","38","97.4%","92.1%","6.76","B- (2.97)","B (3.03)"
"Mosqueda, Gilberto","SE 130B - Structural Analysis II (A)","SP19","49","44","95.2%","95.2%","9.36","B- (2.98)","B- (2.88)"
"Amaddeo, Carmen","SE 130B - Structural Analysis II (B)","SP19","49","44","86.0%","93.0%","9.06","B (3.02)","B (3.16)"
"Krysl, Petr","SE 131 - Finite Element Analysis (A)","SP19","110","38","83.9%","87.1%","8.69","B (3.19)","B (3.27)"
"Restrepo, Jose","SE 140B - Prof. Issues/Design - Civil II (A)","SP19","80","40","73.7%","73.0%","15.58","B (3.14)","B+ (3.48)"
"Kim, Hyonny","SE 143B - Aerospace Structural Design II (A)","SP19","19","6","66.7%","80.0%","18.83","B+ (3.50)","N/A"
"Uang, Chia-Ming","SE 150 - Design of Steel Structures (A)","SP19","90","32","100.0%","96.7%","10.50","B- (2.73)","B (3.13)"
"Megally, Sami Hanna","SE 151B - Design of Prestressed Concrete (A)","SP19","65","57","96.4%","98.2%","7.75","B+ (3.63)","B+ (3.51)"
"Kim, Hyunsun Alicia","SE 160B - Aerospace Structural Mechs II (A)","SP19","95","41","73.0%","55.6%","7.42","B (3.24)","B- (2.71)"
"Lanza Di Scalea, Francesco","SE 163 - Nondestructive Evaluation (A)","SP19","31","29","93.1%","100.0%","6.84","B (3.14)","B (3.15)"
"Yang, Daniel Jiaji","SE 3 - Graphical Comm for Eng Design (A)","SP19","130","61","83.1%","87.7%","12.27","B (3.20)","B+ (3.43)"
"Kuester, Falko","SE 9 - Algorithms&Programming for SE (A)","SP19","73","30","70.4%","74.1%","5.65","B+ (3.41)","B (3.29)"
"Nemat-Nasser, Siavouche","SE 101A - Mechanics I: Statics (A)","WI19","14","6","100.0%","80.0%","6.10","B+ (3.40)","N/A"
"Eliasson, Veronica","SE 101B - Mechanics II: Dynamics (A)","WI19","45","44","97.7%","97.7%","10.77","C+ (2.68)","C (2.23)"
"Amaddeo, Carmen N.","SE 101B - Mechanics II: Dynamics (B)","WI19","48","21","50.0%","60.0%","7.10","B- (2.85)","B- (2.81)"
"Van Den Einde, Yael Dahlia","SE 103 - Conceptual Structural Design (A)","WI19","78","13","91.7%","91.7%","13.12","B- (2.85)","B- (2.84)"
"Behrou, Reza","SE 110A - Solid Mechanics I (A)","WI19","46","46","100.0%","91.1%","7.12","B (3.20)","B+ (3.50)"
"Amaddeo, Carmen N.","SE 110A - Solid Mechanics I (B)","WI19","48","14","83.3%","75.0%","7.00","B- (2.83)","C+ (2.69)"
"Zhu, Qiang","SE 115 - Fluid Mechanics/Structural Eng (A)","WI19","98","26","88.0%","88.0%","7.38","B (3.04)","B- (2.86)"
