"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Huang, Yaqian","LIGN 110 - Phonetics (A)","S121","18","7","83.3%","83.3%","7.36","B+ (3.33)","N/A"
"McIntosh, Justin Daniel","LIGN 8 - Languages & Cultures/America (A)","S121","136","37","94.6%","97.3%","6.39","A- (3.71)","B+ (3.43)"
"El Cheddadi, Youniss","LIAB 1F - Intermediate Arabic Conversatn (A)","SP21","9","3","100.0%","100.0%","1.17","A (4.00)","N/A"
"Styler, William Francis","LIGN 101 - Introduction/Study of Language (A)","SP21","75","40","97.5%","100.0%","4.00","A- (3.84)","B+ (3.70)"
"Styler, William Francis","LIGN 113 - Hearing Sci.&Hearing Disorders (A)","SP21","71","26","100.0%","100.0%","4.34","A- (3.72)","B+ (3.48)"
"Yuan, Michelle","LIGN 120 - Morphology (A)","SP21","75","36","100.0%","100.0%","3.33","A- (3.74)","B+ (3.69)"
"Drake, Emily C","LIGN 125 - Syntax II (A)","SP21","16","7","100.0%","100.0%","6.50","A- (3.71)","N/A"
"Caponigro, Ivano","LIGN 130 - Semantics (A)","SP21","56","25","100.0%","100.0%","3.86","B (3.25)","B (3.08)"
"Bergen, Leon","LIGN 165 - Computational Linguistics (A)","SP21","67","34","91.2%","97.1%","6.74","A- (3.74)","B+ (3.59)"
"Kehler, Andrew Scott","LIGN 17 - Making and Breaking Codes (A)","SP21","168","60","96.6%","98.3%","4.09","B+ (3.61)","B+ (3.42)"
"Ackerman, Farrell","LIGN 176 - Language/Politics&Advertising (A)","SP21","71","26","96.0%","84.0%","4.92","B+ (3.50)","B (3.30)"
"Kluender, Robert","LIGN 180 - Lang Representation in Brain (A)","SP21","48","33","57.6%","66.7%","7.11","B (3.29)","B+ (3.61)"
"Mayberry, Rachel","LIGN 7 - Sign Languages&Their Cultures (A)","SP21","97","28","89.3%","92.6%","2.93","B+ (3.43)","B (3.16)"
"McIntosh, Justin Daniel","LIGN 8 - Languages & Cultures/America (A)","SP21","237","98","93.8%","95.8%","4.30","A- (3.70)","B+ (3.64)"
"Alicio, Atilio","LIHL 112P - Filipino for Filipino Speakers (A)","SP21","14","7","100.0%","100.0%","3.93","C+ (2.67)","N/A"
"Megerdoomian, Karine","LIHL 113 - Armenian for Armenian Speakers (A)","SP21","24","17","100.0%","94.1%","5.09","A (4.00)","A- (3.89)"
"Hill, Kimloan T.V.","LIHL 114P - Beginning Vietnamese for Vietn (A)","SP21","13","8","75.0%","75.0%","4.25","B+ (3.38)","N/A"
"Sadegholvad, Elham","LIHL 117P - Persian for Persian Speakers (A)","SP21","10","7","100.0%","85.7%","3.93","A- (3.71)","N/A"
"Sadegholvad, Elham","LIHL 119P - Hindi for Hindi Speakers (A)","SP21","12","8","100.0%","100.0%","2.50","A (4.00)","N/A"
"Hill, Kimloan T.V.","LIHL 124P - Int Vietnamese/Vietnamese Spkr (A)","SP21","22","12","83.3%","83.3%","4.14","B+ (3.45)","B+ (3.43)"
"Hill, Kimloan T.V.","LIHL 134P - Adv Vietnamese/Vietnamese Spkr (A)","SP21","9","5","100.0%","100.0%","5.00","A (4.00)","N/A"
"Munoz Sanchez, Alicia","LISP 18 - Intermed Spanish/Health Sci (A)","SP21","6","5","100.0%","75.0%","3.00","A (4.00)","N/A"
"Styler, William Francis","LIGN 101 - Introduction/Study of Language (A)","WI21","72","50","98.0%","98.0%","4.30","B+ (3.54)","B+ (3.66)"
"Rose, Sharon","LIGN 111 - Phonology I (A)","WI21","96","44","88.1%","97.6%","5.34","B+ (3.43)","B+ (3.35)"
"Yuan, Michelle","LIGN 121 - Syntax I (A)","WI21","76","39","89.7%","97.4%","4.55","B+ (3.57)","B+ (3.53)"
"Mayberry, Rachel","LIGN 148 - Psycholinguistics of Sign Lang (A)","WI21","24","12","75.0%","75.0%","3.50","B+ (3.56)","B+ (3.34)"
"McIntosh, Justin Daniel","LIGN 150 - Historical Linguistics (A)","WI21","51","22","81.8%","50.0%","4.77","B+ (3.31)","B+ (3.39)"
"Kehler, Andrew Scott","LIGN 17 - Making and Breaking Codes (A)","WI21","142","67","96.9%","98.5%","3.58","B+ (3.64)","B+ (3.48)"
"Garellek, Marc","LIGN 175 - Sociolinguistics (A)","WI21","66","30","96.6%","100.0%","3.53","A- (3.86)","B+ (3.66)"
