"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Ano, Michael Shigeya","CAT 1 - Culture, Art & Technology 1 (E)","FA18","152","117","64.5%","74.1%","3.71","B (3.18)","B+ (3.31)"
"Pantoja, Jennifer Metten","CAT 1 - Culture, Art & Technology 1 (F)","FA18","183","182","80.7%","97.8%","4.18","B+ (3.57)","B+ (3.54)"
"Bigham, David Joseph","CAT 125 - Public Rhetoric & Pract Commun (A)","FA18","90","34","93.3%","96.6%","4.00","B+ (3.67)","B+ (3.34)"
"Smith, Ashley Elizabeth","CAT 125 - Public Rhetoric & Pract Commun (B)","FA18","148","137","92.5%","96.3%","5.62","B+ (3.67)","A- (3.72)"
"Zhang, Kefei Kevin","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","FA18","189","123","91.3%","94.8%","3.51","B+ (3.68)","B+ (3.63)"
"Smith, Ashley Elizabeth","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","S118","169","128","90.5%","96.0%","5.60","A- (3.79)","A- (3.84)"
"Pantoja, Jennifer Metten","CAT 125 - Public Rhetoric & Pract Commun (A)","SP18","190","174","83.2%","91.9%","3.19","A- (3.75)","B+ (3.69)"
"Bigham, David Joseph","CAT 125 - Public Rhetoric & Pract Commun (B)","SP18","91","40","66.7%","93.9%","4.62","B+ (3.46)","B+ (3.32)"
"Sartor, Alexandra","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","SP18","190","120","87.3%","96.6%","3.96","A- (3.76)","A- (3.71)"
"Bronstein, Phoebe Malan","CAT 3 - Culture, Art & Technology III (A)","SP18","269","254","86.2%","92.0%","4.13","B+ (3.64)","B+ (3.61)"
"Glaser, Amelia","CAT 3 - Culture, Art & Technology III (B)","SP18","247","135","74.6%","89.6%","3.79","B+ (3.66)","B+ (3.56)"
"Bigham, David Joseph","CAT 3 - Culture, Art & Technology III (C)","SP18","195","107","69.5%","91.4%","3.40","B+ (3.41)","B+ (3.36)"
"Smith, Ashley Elizabeth","CAT 3 - Culture, Art & Technology III (D)","SP18","198","174","75.3%","76.3%","3.08","B+ (3.56)","B+ (3.60)"
"Godino, Job Gideon","CAT 124 - Sixth College Practicum (A)","WI18","8","4","100.0%","100.0%","3.00","A (4.00)","N/A"
"Smith, Ashley Elizabeth","CAT 125 - Public Rhetoric & Pract Commun (A)","WI18","181","148","87.8%","91.8%","5.10","B+ (3.66)","B+ (3.65)"
"Sartor, Alexandra","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","WI18","190","140","74.5%","94.2%","3.57","B+ (3.68)","B+ (3.65)"
"Trigilio, Michael","CAT 2 - Culture, Art & Technology II (A)","WI18","182","171","64.3%","73.7%","4.23","B+ (3.38)","B+ (3.34)"
"Glaser, Amelia","CAT 2 - Culture, Art & Technology II (B)","WI18","185","105","70.4%","86.6%","4.46","B+ (3.49)","B+ (3.47)"
"Pantoja, Jennifer Metten","CAT 2 - Culture, Art & Technology II (C)","WI18","183","164","87.8%","97.6%","4.94","B+ (3.58)","B+ (3.63)"
"Bigham, David Joseph","CAT 2 - Culture, Art & Technology II (D)","WI18","196","119","81.3%","97.1%","3.79","B+ (3.45)","B+ (3.44)"
"Bronstein, Phoebe Malan","CAT 2 - Culture, Art & Technology II (E)","WI18","161","127","86.3%","90.2%","4.39","B+ (3.52)","B+ (3.45)"
"Bronstein, Phoebe Malan","CAT 87 - Freshman Seminar (A)","WI18","11","10","100.0%","100.0%","2.10","A (4.00)","N/A"
"Algaze, Guillermo","CAT 1 - Culture, Art & Technology I (A)","FA17","82","60","70.2%","78.6%","3.48","B+ (3.43)","B+ (3.60)"
"Bronstein, Phoebe Malan","CAT 1 - Culture, Art & Technology I (B)","FA17","167","138","74.8%","85.3%","4.11","B+ (3.31)","B (3.28)"
"Borgo, David Garcia","CAT 1 - Culture, Art & Technology I (C)","FA17","133","109","64.8%","84.9%","3.43","B+ (3.62)","B (3.25)"
"Pantoja, Jennifer Metten","CAT 1 - Culture, Art & Technology I (D)","FA17","157","149","91.9%","97.2%","4.22","B+ (3.56)","B+ (3.54)"
"Tronzo, William","CAT 1 - Culture, Art & Technology I (E)","FA17","122","68","69.7%","71.2%","2.29","B+ (3.62)","B+ (3.46)"
"Bigham, David Joseph","CAT 1 - Culture, Art & Technology I (F)","FA17","145","89","81.7%","92.6%","3.95","B+ (3.32)","B+ (3.40)"
"Pantoja, Jennifer Metten","CAT 124 - Sixth College Practicum (A)","FA17","6","5","100.0%","100.0%","2.90","A- (3.80)","N/A"
"Cantrell, Joe Leo","CAT 125 - Public Rhetoric & Pract Commun (A)","FA17","153","59","66.1%","78.6%","3.39","B+ (3.68)","B+ (3.69)"
"Bigham, David Joseph","CAT 125 - Public Rhetoric & Pract Commun (B)","FA17","165","86","75.6%","92.6%","4.07","B+ (3.57)","B (3.26)"
"Sartor, Alexandra","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","FA17","195","145","79.9%","95.8%","3.81","B+ (3.58)","B+ (3.55)"
"Bigham, David Joseph","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","S117","174","35","87.5%","90.6%","5.13","B+ (3.65)","B+ (3.55)"
"Stalbaum, Brett","CAT 124 - Sixth College Practicum (A)","SP17","23","9","85.7%","100.0%","4.50","B+ (3.57)","A (4.00)"
"Forbes, Diane A","CAT 125 - Public Rhetoric & Pract Commun (A)","SP17","172","96","82.6%","93.5%","4.70","B+ (3.63)","B+ (3.58)"
"Smith, Ashley Elizabeth","CAT 125 - Public Rhetoric & Pract Commun (B)","SP17","144","131","92.3%","95.4%","5.16","B+ (3.66)","A- (3.73)"
"Bronstein, Phoebe Malan","CAT 3 - Culture, Art & Technology III (A)","SP17","186","111","56.5%","64.1%","3.52","B+ (3.39)","B+ (3.45)"
"Smith, Ashley Elizabeth","CAT 3 - Culture, Art & Technology III (B)","SP17","145","124","57.3%","60.7%","5.66","B+ (3.41)","B+ (3.44)"
"Burgasser, Adam Jonathan","CAT 3 - Culture, Art & Technology III (C)","SP17","166","101","76.6%","87.2%","4.29","B+ (3.47)","B+ (3.47)"
"Bigham, David Joseph","CAT 3 - Culture, Art & Technology III (D)","SP17","170","87","66.7%","91.4%","3.65","B+ (3.33)","B+ (3.31)"
"Hankins, Joseph D.","CAT 3 - Culture, Art & Technology III (E)","SP17","232","124","78.3%","95.8%","3.65","B+ (3.60)","B+ (3.42)"
"Godino, Job Gideon","CAT 124 - Sixth College Practicum (A)","WI17","6","4","100.0%","100.0%","7.00","B+ (3.50)","N/A"
"Solomon, Amanda Lee Albaniel","CAT 125 - Public Rhetoric & Pract Commun (A)","WI17","106","85","91.5%","97.6%","3.60","B+ (3.64)","B+ (3.58)"
"Forbes, Diane A","CAT 125 - Public Rhetoric & Pract Commun (B)","WI17","117","50","93.2%","90.9%","4.68","A- (3.83)","A- (3.70)"
"Sartor, Alexandra","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","WI17","188","152","91.2%","98.0%","3.83","A- (3.73)","B+ (3.67)"
"Bigham, David Joseph","CAT 2 - Culture, Art & Technology II (A)","WI17","270","157","79.2%","93.8%","4.69","B (3.24)","B (3.13)"
"Glaser, Amelia","CAT 2 - Culture, Art & Technology II (B)","WI17","237","112","73.5%","86.3%","4.22","B+ (3.51)","B+ (3.51)"
"Thorpe, Charles Robert","CAT 2 - Culture, Art & Technology II (C)","WI17","139","80","61.3%","54.7%","4.36","B+ (3.32)","B (3.24)"
"Bigham, David Joseph","CAT 2 - Culture, Art & Technology II (D)","WI17","100","42","65.9%","82.9%","3.95","B+ (3.35)","B (3.13)"
"Bronstein, Phoebe Malan","CAT 2 - Culture, Art & Technology II (E)","WI17","153","124","75.4%","78.1%","4.48","B (3.22)","B (3.15)"
"Solomon, Amanda Lee Albaniel","CAT 1 - Culture, Art & Technology I (A)","FA16","259","252","74.5%","89.2%","5.76","B (3.17)","B (3.16)"
"Algaze, Guillermo","CAT 1 - Culture, Art & Technology I (B)","FA16","185","169","69.7%","77.0%","4.80","B (3.30)","B (3.16)"
"Myerston Santana, Jacobo","CAT 1 - Culture, Art & Technology I (C)","FA16","188","167","64.8%","66.7%","4.35","B+ (3.68)","B+ (3.48)"
"Westman, Robert S","CAT 1 - Culture, Art & Technology I (D)","FA16","233","222","74.7%","73.3%","5.36","B+ (3.34)","B+ (3.35)"
"Pantoja, Jennifer Metten","CAT 1 - Culture, Art & Technology I (E)","FA16","137","130","79.4%","98.4%","4.92","B+ (3.62)","B+ (3.57)"
"Solomon, Amanda Lee Albaniel","CAT 124 - Sixth College Practicum (A)","FA16","8","5","100.0%","100.0%","5.50","B (3.00)","N/A"
"Stalbaum, Brett","CAT 124 - Sixth College Practicum (B)","FA16","10","5","100.0%","80.0%","4.10","A- (3.75)","N/A"
"Dominguez, Ricardo","CAT 124 - Sixth College Practicum (C)","FA16","4","3","100.0%","100.0%","4.50","A (4.00)","N/A"
"Nericcio, William Anthony","CAT 125 - Public Rhetoric & Pract Commun (A)","FA16","134","71","62.9%","61.3%","2.93","B+ (3.55)","B+ (3.50)"
"Bigham, David Joseph","CAT 125 - Public Rhetoric & Pract Commun (B)","FA16","141","71","77.3%","87.9%","4.38","B+ (3.47)","B+ (3.37)"
"Sartor, Alexandra","CAT 125R - Pblc Rhetoric Prct Comm Online (A)","FA16","184","127","91.1%","95.1%","3.46","B+ (3.70)","B+ (3.59)"
"Barnadas, Melinda Rose","CAT 124 - Sixth College Practicum (A)","S216","6","3","100.0%","100.0%","8.50","B (3.00)","N/A"
