"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Palenik, Brian","SIO 126 - Marine Microbiology (A)","WI19","52","28","85.7%","92.9%","4.50","B (3.04)","B (3.00)"
"Barton, Andrew David","SIO 134 - Intro/Biological Oceanography (A)","WI19","183","150","86.7%","96.0%","4.91","B- (2.95)","B- (2.76)"
"Landry, Michael Raymond","SIO 134 - Intro/Biological Oceanography (A)","WI19","192","149","87.2%","74.8%","4.90","B- (2.95)","B- (2.76)"
"Palenik, Brian","SIO 139 - Current Research in Marine Bio (A)","WI19","71","39","71.1%","92.1%","1.76","A (4.00)","N/A"
"Brown, Kevin Michael","SIO 162 - Structural Geology (A)","WI19","13","8","83.3%","83.3%","7.64","B (3.29)","N/A"
"Rivera-Collazo, Isabel C","SIO 164 - Maritime Archaeology (A)","WI19","18","8","85.7%","85.7%","3.07","B+ (3.33)","N/A"
"Evan, Amato Tomas","SIO 172 - Physics of the Atmosphere (A)","WI19","12","8","100.0%","100.0%","8.00","B (3.25)","N/A"
"Martz, Todd R.","SIO 179 - Ocean Instruments and Sensors (A)","WI19","13","4","100.0%","100.0%","3.00","A (4.00)","N/A"
"Paulenich, Cari Lynn","SIO 180 - Communicating Science/Inf Aud (A)","WI19","22","9","100.0%","100.0%","4.75","A (4.00)","A (4.00)"
"Brahamsha, Bianca M.","SIO 185 - Marine Microbiology Laboratory (A)","WI19","15","9","100.0%","100.0%","6.50","B (3.22)","N/A"
"Hastings, Philip A.","SIO 188 - Biology of Fishes (A)","WI19","33","18","94.4%","94.4%","6.72","B (3.17)","B (3.03)"
"Fenical, William H.","SIO 192 - Senior Seminar/SIOceanogrphy (A)","WI19","17","11","100.0%","90.0%","1.30","B (3.00)","N/A"
