"Instructor","Course","Term","Enroll","Evals Made","Rcmnd Class","Rcmnd Instr","Study Hrs/wk","Avg Grade Expected","Avg Grade Received"
"Mancinelli, Ryan Mark","ENG 100D - Design for Development (B)","WI19","60","20","88.9%","100.0%","6.06","B+ (3.69)","A- (3.78)"
"Goldberg, Charles G.","ENG 100L - Design for Development Lab (D)","WI19","15","3","100.0%","100.0%","2.50","A (4.00)","N/A"
"Bratton, Maryann","ENG 100L - Design for Development Lab (I)","WI19","14","4","75.0%","100.0%","7.00","A- (3.75)","N/A"
"Vargas Consuelos, Carlos Ingram","ENG 10 - Fundamentals/Engineering Appln (A)","FA18","17","7","33.3%","50.0%","1.50","B+ (3.50)","N/A"
"Choi, Seongcheol","ENG 10 - Fundamentals/Engineering Appln (B)","FA18","20","15","53.3%","53.3%","2.90","A- (3.80)","A- (3.72)"
"Evdokimenko, Ekaterina","ENG 10 - Fundamentals/Engineering Appln (C)","FA18","22","14","57.1%","71.4%","2.21","A- (3.92)","A- (3.94)"
"Bratton, Maryann","ENG 100D - Design for Development (A)","FA18","59","44","93.2%","88.6%","5.45","A- (3.91)","B+ (3.61)"
"Bratton, Maryann","ENG 100D - Design for Development (F)","FA18","53","39","69.2%","76.3%","5.85","B+ (3.47)","B+ (3.61)"
"Nguyen, Truong Quang","ENG 100L - Design for Development Lab (A)","FA18","8","5","100.0%","100.0%","5.70","A (4.00)","N/A"
"Kleissl, Jan","ENG 100L - Design for Development Lab (F)","FA18","8","4","100.0%","100.0%","4.50","A (4.00)","N/A"
"Vargas Consuelos, Carlos Ingram","ENG 10 - Fundamentals/Engineering Appln (A)","S218","28","24","28.6%","28.6%","3.28","A- (3.91)","A (4.00)"
"Schamberg, Gabriel Eli","ENG 10 - Fundamentals/Engineering Appln (B)","S218","30","26","76.9%","100.0%","2.50","A- (3.96)","A (4.00)"
"Warchall, Julian Alexander","ENG 10 - Fundamentals/Engineering Appln (C)","S218","30","24","60.9%","87.0%","2.17","A- (3.96)","A (4.00)"
"Vargas Consuelos, Carlos Ingram","ENG 10 - Fundamentals/Engineering Appln (D)","S218","21","17","37.5%","43.8%","3.13","A- (3.94)","A (4.00)"
"Choi, Seongcheol","ENG 10 - Fundamentals/Engineering Appln (A)","SP18","24","8","100.0%","100.0%","3.50","A (4.00)","A- (3.83)"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (B)","SP18","52","48","77.1%","95.7%","7.92","B+ (3.60)","B+ (3.59)"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (C)","SP18","48","39","100.0%","100.0%","7.09","B+ (3.58)","B+ (3.59)"
"Reynante, Brandon Marcellino","ENG 100D - Design for Development (D)","SP18","32","30","80.0%","93.3%","8.37","B+ (3.64)","B+ (3.59)"
"Kleissl, Jan","ENG 100L - Design for Development Lab (C)","SP18","11","3","66.7%","33.3%","7.83","A (4.00)","N/A"
"Goldberg, Charles G.","ENG 100L - Design for Development Lab (D)","SP18","12","4","100.0%","100.0%","3.83","A (4.00)","N/A"
"de Oliveira, Mauricio","ENG 100L - Design for Development Lab (G)","SP18","12","3","100.0%","100.0%","3.83","A (4.00)","N/A"
"Bratton, Maryann","ENG 100L - Design for Development Lab (L)","SP18","15","6","100.0%","100.0%","5.50","A- (3.83)","N/A"
